	featureCounts on data 80: Counts	featureCounts on data 81: Counts	featureCounts on data 82: Counts	featureCounts on data 77: Counts	featureCounts on data 78: Counts	featureCounts on data 79: Counts
6093	1076.08229728563	690.270432357445	1867.22914129316	1411.45025768891	1017.2858993699	911.011586833757
80000	70.8392734890228	10.2010408722775	474.965082542533	284.146283540813	72.3650708170104	150.494978405072
114799	285.60595978114	213.088409332019	379.972066034026	388.38084986483	293.635191199792	305.58522332633
6632	488.00388403549	868.221923129397	506.145996358302	704.654225765786	633.194369648841	634.146779233586
171586	212.517820467068	173.417694828718	233.49428485297	339.119308245946	424.448973061311	334.305639052489
100302135	0	0	0	1.42787077156188	0	0
57534	792.725203329541	595.060717549522	1315.39948050711	1262.95169744648	699.99289655685	1067.25064838406
102723167	0	0	0	0.713935385780938	0	2.2976332580927
406922	0	0	0	0	0	0
406905	0	0	0	0	0	0
100128893	1.12443291252417	5.66724492904306	0	1.42787077156188	2.7832719545004	1.14881662904635
2627	120.314321640086	117.878694524096	26.8300886321736	141.359206384626	204.570488655779	182.66184401837
64693	1.12443291252417	1.13344898580861	1.45027506119857	0	0	0
101927571	2.24886582504834	0	1.45027506119857	0	1.3916359772502	0
5932	279.983795218519	393.306798075589	1603.27908015502	401.231686808887	342.342450403549	360.728421520555
100616139	0	0	0	0	0	0
105372022	15.7420607753384	13.6013878297034	45.6836644277551	14.2787077156188	18.0912677042526	12.6369829195099
91768	517.239139761119	285.62914442377	1112.36097193931	350.542274418441	300.593371086043	337.752088939628
85019	338.454306669776	231.223593104957	464.088019583544	379.813625235459	367.391897994053	570.961864636037
8780	624.060266450915	419.376124749187	894.094575228921	786.042859744813	656.852181262094	716.861576524924
29919	326.08554463201	296.963634281857	292.230424831513	268.439705053633	509.338767673573	388.300020617667
4864	732.005826053236	556.523452032029	531.525809929277	616.840173314731	1025.6357152334	502.032866893256
147463	11.2443291252417	15.8682858013206	26.1049511015743	86.3861816794935	52.8821671355076	64.3337312265957
3909	445.275433359572	36.2703675458756	1244.33600250838	529.740056249456	22.2661756360032	232.060959067363
125488	120.314321640086	226.689797161723	868.714761657946	371.246400606088	385.483165698305	693.885243943997
102724246	4.49773165009668	20.402081744555	1.45027506119857	3.56967692890469	5.5665439090008	3.44644988713906
26256	29.2352557256285	82.7417759640287	117.472279957084	21.4180615734281	27.832719545004	189.554743792648
114876	418.289043458992	553.123105074603	1155.86922377526	319.84305282986	663.810361148345	747.879625509175
100302195	0	0	0	0	0	0
55364	391.302653558412	270.894307608258	923.825213983491	467.627677686515	498.205679855572	838.636139203837
59340	2.24886582504834	0	2.17541259179786	0.713935385780938	1.3916359772502	3.44644988713906
729950	0	0	2.17541259179786	0.713935385780938	2.7832719545004	1.14881662904635
25925	73.0881393140711	100.876959736967	178.383832527425	114.22966172495	73.7567067942606	268.823091196846
6760	863.564476818564	751.47667759111	1439.39799823958	1326.49194678098	1103.56732995941	1527.92611663165
143471	0	0	0	0	5.5665439090008	0
6875	127.060919115231	298.097083267665	39.1574266523615	96.3812770804267	148.905049565771	47.1014817909004
100506787	3.37329873757251	0	0	0	5.5665439090008	0
284252	579.082949949948	533.854472315856	356.767665054849	438.356326869496	448.106784674564	484.800617457561
102466874	0	0	0	0	0	0
728606	0	1.13344898580861	30.45577628517	0	0	1.14881662904635
361	1.12443291252417	4.53379594323445	0	0	0	4.59526651618541
147429	0	0	0.725137530599287	0	0	0
83539	6.74659747514503	4.53379594323445	0	2.14180615734281	8.3498158635012	5.74408314523176
1000	88.8302000894095	26.0693266735981	72.5137530599287	22.84593234499	66.7985269080096	82.7147972913374
100302131	0	0	0	0	0	0
1825	4.49773165009668	160.949755984823	788.949633292024	11.422966172495	15.3079957497522	147.048528517933
1824	481.257286560345	2452.78360528984	301.657212729303	610.414754842702	354.867174198801	1019.00034996411
101927698	4.49773165009668	0	1.45027506119857	1.42787077156188	4.1749079317506	0
1823	0	5.66724492904306	445.959581318561	1.42787077156188	2.7832719545004	4.59526651618541
1828	0	2.26689797161723	1199.37747561122	0.713935385780938	0	9.19053303237082
101927718	0	0	0	0	0	0
147409	0	0	0	0	0	1.14881662904635
1830	5.62216456262086	4.53379594323445	51.4847646725494	5.71148308624751	2.7832719545004	10.3393496614172
1829	2019.48151089341	1672.97070305351	1735.25411072409	1332.91736525301	378.524985812054	2939.82175372962
