Geneid	Samtools sort on 310(R)
26828	0
26830	0
11004	430
6202	9194
26811	27
94161	5
94162	3
94163	7
266675	7
1263	324
343521	24
149478	50
8643	54
8891	461
79654	814
7389	365
57643	553
400752	6
84842	14
4595	120
114034	172
10420	181
126661	26
25974	73
5052	6270
10327	1320
4678	1159
149483	17
60313	3416
728963	0
51249	342
3652	400
23139	1574
8503	3153
101929626	8
10103	2287
55624	1778
541468	5
8438	226
10489	1847
7388	1660
387338	486
2166	700
729041	6
101929651	0
127343	22
100507423	2
148930	0
8569	436
148932	429
64756	906
374973	1
100130197	0
9813	3257
1580	180
163720	68
1579	0
260293	40
199974	68
284541	0
100874253	0
10158	120
6886	74
6491	318
51727	3390
102724077	17
2301	1
84793	32
2306	181
388630	46
391037	0
200010	3
54558	79
84871	13
79656	20
101929721	0
100874313	0
1996	3
63950	0
11124	795
1031	397
100616189	0
102466656	0
284546	0
26994	2125
22996	6194
102724097	63
2060	1358
114883	832
4898	3148
100313892	0
5865	21
51060	873
112970	0
104355143	0
91408	1277
9372	509
200014	760
4998	120
84950	595
23318	592
105378722	1
2882	66
348378	8
65260	281
79699	736
440590	157
55268	612
6342	1788
100616156	0
100616458	0
100616145	0
127435	922
6512	13
1376	642
54987	403
4116	414
100507564	12
7804	609
163742	0
63948	0
148979	4
105369175	0
55706	642
54432	550
1733	7
51668	225
115353	290
388633	20
9528	4309
127428	209
100616315	0
200008	0
606495	124
51253	1342
23648	690
619518	3
26027	23
338094	1
374977	0
100527960	0
7268	11
25973	139
55001	33
163747	1
1718	18673
100126514	0
199964	9
7809	3
255738	0
23358	1965
100507634	13
100616272	0
8613	1085
5563	27
199920	11
731	0
732	0
1600	3
101926890	0
115209	319
4070	4137
114803	927
3725	2158
100131060	2
101926925	4
729467	1
55277	87
100616409	0
101926944	3
51361	997
1573	98
127795	0
101926964	0
100996570	2
4774	667
645030	0
414927	0
83941	483
10207	964
100422902	0
100422946	0
54596	23
163782	27
7398	1207
85440	816
27329	0
84938	212
199899	2
100996301	39
27022	7
102464823	0
29929	329
23421	152
84455	81
79469	2
5236	660
4919	93
101927034	2
148581	0
57685	283
100616338	0
55225	367
3716	3911
101927084	2
105378775	4
100500854	1
406893	0
205	736
9829	181
54741	1365
3953	246
5142	260
101927139	0
84251	33
100422871	0
200132	13
10022	1
79819	60
57708	911
23169	718
400757	0
149233	1
3595	76
26135	6124
1647	230
55970	832
100289178	4
9077	3
79971	249
100302279	0
6121	1
55635	64
101927220	0
57554	8
5301	0
55631	303
9295	3235
81573	682
11147	27
1491	63
101927244	0
5733	225
100132618	12
9406	1336
406962	7
100852410	4
257194	80
100852409	0
101927295	0
127255	13
100526835	0
8790	447
51086	0
105378804	0
105378803	0
127254	5
101927320	0
1429	279
127253	427
431707	0
204962	13
34	910
1744	12
5876	989
692085	2
26805	7
26804	3
4438	8
127247	0
101927342	0
256435	32
81849	900
102466995	0
10026	539
26289	13
26009	1295
23032	1538
374986	710
374987	3
91624	351
8880	1501
11080	387
54810	41
149047	0
5737	45
10964	1252
10561	872
64123	626
101927412	3
23266	415
101927434	0
101927498	0
101927587	8
101927560	3
79739	121
5567	782
148418	12
391051	2
58511	2
80135	467
2787	781
100505741	5
1486	483
103695366	0
439927	1
117178	683
23566	21
255231	113
55283	27
126820	7
100616481	0
84144	269
148423	332
8915	303
646626	3
23576	631
3491	415
54680	442
255631	41
57489	390
102465842	2
9635	47
1179	0
22802	0
9629	0
105378828	13
51100	1888
9403	2933
9653	1145
339524	106
101927844	0
105378832	0
8543	445
100505768	0
101927891	1
5586	1429
2959	423
56267	353
494115	438
2635	1486
2633	2072
2634	1835
388646	7
115361	2267
115362	1188
729930	1
163351	16
400759	58
23507	777
84230	424
400761	6
55144	522
105378846	0
492303	16
284695	687
343472	0
84146	1152
164045	1
8317	193
7049	524
676	0
253152	6
646817	6
284697	19
23285	73
388649	2
11146	169
79871	244
2672	70
7813	369
6125	8302
388650	309
6083	1
26782	4
22823	563
50999	2078
343099	113
100131564	137
1810	1349
54874	2273
100126520	3
8412	891
100129046	4
100126348	0
100189133	2
30836	921
2730	1370
24	13
9411	1000
5825	1265
2152	132
101928079	14
100616321	0
126969	46
1266	2930
105378862	14
729970	49
199857	154
101928098	1
148534	160
100527978	14
101928118	0
25950	122
440594	0
100996635	0
102723661	0
101928241	0
58155	157
1806	515
100873932	0
100873933	0
400765	0
100616452	0
406928	0
729987	0
51375	393
163404	0
100129620	0
9890	85
101928270	0
54873	517
391059	109
178	964
23443	1800
64645	1469
163786	182
54482	221
127495	14
1629	660
100506007	7
8634	1024
693138	0
8556	829
54112	17
100128787	0
7412	764
2135	185
148867	815
51611	279
102606465	94
101928334	20
101928370	9
1901	616
104355286	0
118427	0
94236	0
1301	197
101928436	0
55599	165
280	94
648740	4
279	0
276	0
277	1
278	0
100129138	0
101928476	0
55170	220
22854	1
10451	2299
102465839	0
100873946	0
29957	2020
148545	632
653149	410
284611	2926
113802	268
55119	1256
163479	0
6814	757
254268	5
642864	0
29899	241
23155	816
22911	421
6884	430
56900	986
677766	1
127003	2
57535	3627
6301	2775
1952	5874
84722	168
343263	0
6272	2836
5686	2605
284612	9
127002	154
284613	396
57463	248
83873	0
2773	1653
406974	0
2780	7
271	449
2948	150
2946	119
2944	106
2949	24
2947	851
79574	1
1435	764
10768	2888
85369	577
257	38
104355139	2
164153	9
388662	418
100873974	1
3749	180
440600	9
64783	364
9122	90
10542	956
101410535	2
84432	1
643160	0
440602	0
3744	0
3737	25
3738	404
963	1080
55791	502
128338	934
10390	617
79961	1383
1117	96
149620	0
27159	0
128344	7
441897	0
5016	45
79084	599
515	2297
128346	243
57413	5
140	68
100129269	4
5906	1415
55924	213
100506343	0
101928718	1
11218	398
3752	142
100874295	1
100873995	0
643355	16
55917	516
100422976	1
7482	34
54879	230
829	2878
4343	1404
389	5793
333926	660
284467	1
100996702	10
6566	309
246182	0
100506392	8
100996251	2
9860	194
643441	0
260425	504
10745	381
54665	669
100287722	9
26191	155
440603	7
10717	200
64858	170
101928846	1
204851	3331
56944	513
148281	8
51592	1382
10286	668
163259	28
270	7
4893	1335
7812	10848
80143	769
6847	0
7252	0
10100	85
4803	6
81839	921
845	66
4808	3
101928995	7
101928977	1
55356	208
126868	2
476	3879
84852	47
101929023	1
965	130
100616384	1
3321	1496
100302117	0
388667	0
914	547
5738	972
9398	41
101929099	3
8458	377
100126331	0
80263	149
79679	267
104355292	0
10905	1664
100996263	0
54855	887
54834	344
10885	785
200162	3
6913	97
10352	232
104472716	4
101929147	111
51179	0
100874270	0
3284	1
3283	0
128102	6
644242	2
90874	228
26227	87
3158	22
83998	0
343505	0
11085	0
4853	5942
9554	2949
105378954	5
728841	781
767846	36
100996724	222
101929796	146
101060684	440
100189005	0
101954277	0
653505	0
728855	78
101954264	0
100189257	0
105369199	2
100996721	0
100126488	0
101929798	0
2210	14
100996318	2
337875	0
653820	70
653464	144
100873165	0
647121	10
101929815	0
100189261	0
101954269	0
26863	0
791227	0
105369140	0
388692	0
100189142	0
100189326	0
199882	0
100189356	0
100132417	17
100996713	3
554282	10
100996712	24
101060524	0
730262	0
101954267	0
100189323	0
284565	1255
100189127	0
728945	0
105371215	0
1818	0
645166	4
647135	125
728833	25
101929805	0
102724235	10
103091866	21
645142	0
101954266	0
7214	0
100288142	154
100126510	0
101060254	0
101929780	39
653519	273
5174	1322
11126	19
27246	616
10623	575
200035	31
10401	1058
102466191	0
148741	17
8515	39
8799	638
114814	21
9939	2319
128077	362
84265	280
284615	20
10628	13804
148738	0
100189384	0
100189064	0
100188991	0
100189198	0
101954276	0
101928979	17
100132406	85
388677	171
170688	1
105371242	0
102724558	1
100288805	3
105373468	11
149013	359
728989	11
100189334	0
101447996	0
644861	1
5565	572
171423	491
2330	66
9557	973
100289211	13
607	983
51205	92
2702	303
2703	0
51463	85
100034743	5
100189140	0
26864	0
100189193	0
200030	265
101927468	0
100189056	0
100189307	0
100189174	0
100188998	0
100847044	1
101954273	2
102466225	0
26860	0
100132057	3
101954272	0
388685	38
644591	0
25832	550
100996763	132
440672	3
9659	1152
400818	560
653513	31
100996761	3
101060226	619
653598	2
57234	61
644634	0
100189228	0
102723955	1
100189059	0
440689	105
2209	215
101927767	23
653604	14
8370	14
105371405	15
126961	2
8337	714
337873	27
723790	156
333932	4
554313	64
8349	2858
8338	42
317772	23
51027	219
9900	20
10262	1538
10903	115
56957	1425
105373477	1
11311	751
51177	600
81611	376
23632	9
51107	3505
79630	158
148523	26
54460	258
9129	1229
23248	1165
80222	456
102465529	0
1893	444
